config,matrix_size,run,total_time_s,avg_worker_comm_s,avg_worker_comp_s
ex10_i7-7700_1node,2048,1,16.85,0.2350,16.6125
ex10_i7-7700_1node,2048,2,16.90,0.2500,16.6425
ex10_i7-7700_1node,2048,3,16.91,0.2325,16.6750
ex10_i7-7700_1node,2048,4,16.86,0.2650,16.5925
ex10_i7-7700_1node,2048,5,16.89,0.2375,16.6450
ex10_xs-4114_1node,2048,1,23.05,0.3100,22.7250
ex10_xs-4114_1node,2048,2,23.09,0.3100,22.7725
ex10_xs-4114_1node,2048,3,23.07,0.3225,22.7400
ex10_xs-4114_1node,2048,4,23.03,0.3050,22.7200
ex10_xs-4114_1node,2048,5,23.07,0.3175,22.7450
ex10_mixed_2nodes_cyclic,2048,1,26.43,4.0775,19.4425
ex10_mixed_2nodes_cyclic,2048,2,26.37,4.1075,19.3950
ex10_mixed_2nodes_cyclic,2048,3,26.49,4.0975,19.4850
ex10_mixed_2nodes_cyclic,2048,4,26.48,4.0775,19.4900
ex10_mixed_2nodes_cyclic,2048,5,26.54,4.1100,19.4875
ex11_5proc_normal,256,1,0.01,0.0100,0.0100
ex11_5proc_normal,256,2,0.01,0.0000,0.0100
ex11_5proc_normal,256,3,0.01,0.0100,0.0100
ex11_5proc_normal,256,4,0.01,0.0100,0.0100
ex11_5proc_normal,256,5,0.01,0.0100,0.0100
ex11_9proc_overcommit,256,1,2.11,2.1000,0.0000
ex11_9proc_overcommit,256,2,2.05,2.0488,0.0000
ex11_9proc_overcommit,256,3,2.02,2.0112,0.0000
ex11_9proc_overcommit,256,4,2.12,2.1200,0.0000
ex11_9proc_overcommit,256,5,2.32,2.3200,0.0000
