name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
ALEKSANYAN Artur,Male,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 97kg""]",33,Yes,Yes,1
AMOYAN Malkhas,Male,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 77kg""]",25,No,Yes,1
GALSTYAN Slavik,Male,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 67kg""]",28,Yes,No,0
HARUTYUNYAN Arsen,Male,Armenia,Armenia,['Wrestling'],"[""Men's Freestyle 57kg""]",25,Yes,No,0
TEVANYAN Vazgen,Male,Armenia,Armenia,['Wrestling'],"[""Men's Freestyle 65kg""]",25,Yes,No,0
ARENAS Lorena,Female,Colombia,Colombia,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",31,Yes,No,0
McKENZIE Ashley,Male,Jamaica,Jamaica,['Judo'],['Men -60 kg'],35,Yes,No,0
BASS BITTAYE Gina Mariam,Female,Gambia,Gambia,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",29,Yes,No,0
CAMARA Ebrahima,Male,Gambia,Gambia,['Athletics'],"[""Men's 100m""]",28,Yes,No,0
RUEDA SANTOS Lizeth,Female,Mexico,Mexico,['Triathlon'],"[""Women's Individual""]",30,Yes,No,0
TAPIA VIDAL Rosa Maria,Female,Mexico,Mexico,['Triathlon'],"[""Women's Individual""]",27,Yes,No,0
GRAJALES Crisanto,Male,Mexico,Mexico,['Triathlon'],"[""Men's Individual""]",37,Yes,No,0
MAAROUFOU Hachim,Male,Comoros,Comoros,['Athletics'],"[""Men's 100m""]",27,Yes,No,0
SAADI Maesha,Female,Comoros,Comoros,['Swimming'],"[""Women's 50m Freestyle""]",17,Yes,No,0
DIOSDADO Nuria,Female,Mexico,Mexico,['Artistic Swimming'],"['Team', 'Duet']",34,Yes,No,0
JIMENEZ Joana,Female,Mexico,Mexico,['Artistic Swimming'],"['Team', 'Duet']",31,Yes,No,0
SOBRINO Jessica,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],30,Yes,No,0
ALFEREZ Regina,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],27,Yes,No,0
ARELLANO Fernanda,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],22,Yes,No,0
TOSCANO Pamela,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],24,Yes,No,0
GONZALEZ Itzamary,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],21,Yes,No,0
RODRIGUEZ Samanta,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],30,Yes,No,0
INZUNZA Glenda,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],24,No,No,0
SEHEN Sajjad,Male,Iraq,Iraq,['Judo'],['Men -81 kg'],28,No,No,0
RUBAIAWI Ali Ammar Yusur,Male,Iraq,Iraq,['Weightlifting'],"[""Men's +102kg""]",20,No,No,0
ISMAIL Mohamed,Male,Djibouti,Djibouti,['Athletics'],"[""Men's 5000m""]",27,Yes,No,0
HASSAN Ibrahim,Male,Djibouti,Djibouti,['Athletics'],"[""Men's Marathon""]",27,No,No,0
WAISS Abdi,Male,Djibouti,Djibouti,['Athletics'],"[""Men's 5000m""]",28,Yes,No,0
HASSAN NOUR Samiyah,Female,Djibouti,Djibouti,['Athletics'],"[""Women's 5000m""]",25,Yes,No,0
HOUSSEIN BARKAT Houmed,Male,Djibouti,Djibouti,['Swimming'],"[""Men's 50m Freestyle""]",20,No,No,0
BARAT Andy,Male,Comoros,Comoros,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",27,Yes,No,0
MARTINEZ RAMIREZ Miguel Angel,Male,Mexico,Mexico,['Boxing'],"[""Men's 63.5kg""]",23,No,No,0
VERDE ALVAREZ Marco Alonso,Male,Mexico,Mexico,['Boxing'],"[""Men's 71kg""]",22,Yes,Yes,1
GONZALEZ Alegna,Female,Mexico,Mexico,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",25,Yes,No,0
LOPEZ Jesus Tonatiu,Male,Mexico,Mexico,['Athletics'],"[""Men's 800m""]",27,Yes,No,0
PORTILLO Erick,Male,Mexico,Mexico,['Athletics'],"[""Men's High Jump""]",24,Yes,No,0
MUNOZ Uziel,Male,Mexico,Mexico,['Athletics'],"[""Men's Shot Put""]",29,Yes,No,0
del REAL Diego,Male,Mexico,Mexico,['Athletics'],"[""Men's Hammer Throw""]",30,Yes,No,0
DOCTOR Jose Luis,Male,Mexico,Mexico,['Athletics'],"[""Men's 20km Race Walk""]",28,Yes,No,0
MORAN Paola,Female,Mexico,Mexico,['Athletics'],"[""Women's 400m""]",27,Yes,No,0
GALVAN Laura,Female,Mexico,Mexico,['Athletics'],"[""Women's 5000m""]",33,Yes,No,0
CORTES Alma Delia,Female,Mexico,Mexico,['Athletics'],"[""Women's 5000m""]",27,Yes,No,0
CRISTIAN MOSCOTE Citlali,Female,Mexico,Mexico,['Athletics'],"[""Women's Marathon""]",29,Yes,No,0
PALMA OLIVARES Ever Jair,Male,Mexico,Mexico,['Athletics'],['Marathon Race Walk Relay Mixed'],32,Yes,No,0
OETLING RAMIREZ Elena,Female,Mexico,Mexico,['Sailing'],"[""Women's Dinghy""]",31,Yes,No,0
AGUILAR CHAVEZ PEON Mariana,Female,Mexico,Mexico,['Sailing'],"[""Women's Windsurfing""]",25,Yes,No,0
LECHUGA ALANIS Kenia,Female,Mexico,Mexico,['Rowing'],"[""Women's Single Sculls""]",30,No,No,0
LOPEZ GARCIA Alexis,Male,Mexico,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",27,No,No,0
CARBALLO NIETO Miguel,Male,Mexico,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",32,No,No,0
BLANCO Luisa,Female,Colombia,Colombia,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",23,Yes,No,0
WILLARS VALDEZ Randal,Male,Mexico,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",22,Yes,No,0
BERLIN REYES Kevin,Male,Mexico,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",23,No,No,0
OROZCO LOZA Alejandra,Female,Mexico,Mexico,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",27,No,No,0
