name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
JAMES LeBron,Male,United States of America,United States of America,['Basketball'],['Men'],40,Yes,Yes,1
MANSY Khouloud,Female,Egypt,Egypt,['Sailing'],"[""Women's Dinghy""]",26,Yes,No,0
LABOUS Juliette,Female,France,France,['Cycling Road'],"[""Women's Road Race"", ""Women's Individual Time Trial""]",26,No,No,0
MEESSEMAN Emma,Female,Belgium,Belgium,['Basketball'],['Women'],31,Yes,No,0
DAVEUA Raijieli,Female,Fiji,Fiji,['Rugby Sevens'],['Women'],32,Yes,No,0
FINDLAY Sean,Male,New Zealand,New Zealand,['Hockey'],['Men'],23,Yes,No,0
SIBBERSEN Magnus,Male,Denmark,Denmark,['Canoe Sprint'],"[""Men's Kayak Four 500m""]",23,No,No,0
SUZUKI Yuka,Female,Japan,Japan,['Athletics'],"[""Women's Marathon""]",25,Yes,No,0
MOSQUERA Cristhian,Male,Spain,Spain,['Football'],['Men'],20,Yes,Yes,1
BARONTINI Simone,Male,Italy,Italy,['Athletics'],"[""Men's 800m""]",25,Yes,No,0
DANNEBERG Jean-Paul,Male,Germany,Germany,['Hockey'],['Men'],22,Yes,Yes,1
GONZALEZ Juan,Male,Uruguay,Uruguay,['Rugby Sevens'],['Men'],21,Yes,No,0
NAKAAYI Halimah,Female,Uganda,Uganda,['Athletics'],"[""Women's 800m""]",30,Yes,No,0
van VUUREN Jovan,Male,South Africa,South Africa,['Athletics'],"[""Men's Long Jump""]",28,Yes,No,0
ANDREASSEN Simon,Male,Denmark,Denmark,['Cycling Mountain Bike'],"[""Men's Cross-country""]",27,Yes,No,0
BRAND Jule,Female,Germany,Germany,['Football'],['Women'],22,Yes,Yes,1
ELDERAA Seif,Male,Egypt,Egypt,['Handball'],['Men'],26,Yes,No,0
ONANA ALIMA Nelson,Male,Belgium,Belgium,['Hockey'],['Men'],24,Yes,No,0
TAN Jonathan Eu Jin,Male,Singapore,Singapore,['Swimming'],"[""Men's 100m Freestyle"", ""Men's 50m Freestyle""]",22,Yes,No,0
RYDE Jessica,Female,Sweden,Sweden,['Handball'],['Women'],30,Yes,No,0
LUKASIK Martyna,Female,Poland,Poland,['Volleyball'],['Women'],25,Yes,No,0
VELASCO FUENTES Victoria,Female,Mexico,Mexico,['Cycling Track'],"[""Women's Omnium""]",22,Yes,No,0
RODNEY Brendon,Male,Canada,Canada,['Athletics'],"[""Men's 200m"", ""Men's 4 x 100m Relay""]",32,Yes,Yes,1
SHADRINA Natalia,Female,Serbia,Serbia,['Boxing'],"[""Women's 60kg""]",34,Yes,No,0
KELLY Jack,Male,Ireland,Ireland,['Rugby Sevens'],['Men'],27,Yes,No,0
KLAVER Lieke,Female,Netherlands,Netherlands,['Athletics'],"[""Women's 400m"", ""Women's 4 x 400m Relay"", '4 x 400m Relay Mixed']",26,Yes,Yes,2
KIM Woomin,Male,Republic of Korea,Republic of Korea,['Swimming'],"[""Men's 200m Freestyle"", ""Men's 400m Freestyle"", ""Men's 4 x 200m Freestyle Relay""]",23,No,Yes,1
HAIKAL Reda,Male,Egypt,Egypt,['Volleyball'],['Men'],34,Yes,No,0
KUMRIC Zlatko,Male,Croatia,Croatia,['Judo'],['Men -100 kg'],30,Yes,No,0
KOGA Yuta,Male,Japan,Japan,['Athletics'],"[""Men's 20km Race Walk""]",25,No,No,0
CUI Xiaotong,Female,People's Republic of China,People's Republic of China,['Rowing'],"[""Women's Quadruple Sculls""]",30,Yes,No,0
ALAYED Mashael Meshari A,Female,Saudi Arabia,Saudi Arabia,['Swimming'],"[""Women's 200m Freestyle""]",18,No,No,0
O'SULLIVAN Sophie,Female,Ireland,Ireland,['Athletics'],"[""Women's 1500m""]",23,Yes,No,0
DENIS Thomas,Male,France,France,['Cycling Track'],"[""Men's Team Pursuit""]",27,Yes,No,0
YU Fu,Female,Portugal,Portugal,['Table Tennis'],"[""Women's Singles""]",46,Yes,No,0
DESGOUILLONS Matteo,Male,France,France,['Hockey'],['Men'],24,Yes,No,0
