sampleID,date,basin,longitude,latitude,Temperature,Salinity,month,season
CB1.1 AP 1 84-08-07,7/8/1984,chesa,-76.081,39.545,27.8,0,8,Summer
CB1.1 AP 3 84-08-07,7/8/1984,chesa,-76.081,39.545,27.8,0,8,Summer
CB1.1 AP 1 84-09-12,12/9/1984,chesa,-76.081,39.545,24.1,0,9,Autumn
CB1.1 AP 1 84-09-26,26/9/1984,chesa,-76.081,39.545,22.87,0,9,Autumn
CB1.1 AP 3 84-09-26,26/9/1984,chesa,-76.081,39.545,22.87,0,9,Autumn
CB1.1 AP 1 84-10-10,10/10/1984,chesa,-76.081,39.545,17.8,0,10,Autumn
CB1.1 AP 3 84-10-10,10/10/1984,chesa,-76.081,39.545,17.8,0,10,Autumn
CB1.1 AP 1 84-11-07,7/11/1984,chesa,-76.081,39.545,15.73,0,11,Autumn
CB1.1 AP 3 84-11-07,7/11/1984,chesa,-76.081,39.545,15.73,0,11,Autumn
CB1.1 AP 1 84-12-12,12/12/1984,chesa,-76.081,39.545,2.73,0,12,Winter
CB1.1 AP 3 84-12-12,12/12/1984,chesa,-76.081,39.545,2.73,0,12,Winter
CB1.1 AP 1 85-03-21,21/3/1985,chesa,-76.081,39.545,5.7,0,3,Spring
CB1.1 AP 3 85-03-21,21/3/1985,chesa,-76.081,39.545,5.7,0,3,Spring
CB1.1 AP 1 85-04-10,10/4/1985,chesa,-76.081,39.545,8.8,0,4,Spring
CB1.1 AP 3 85-04-10,10/4/1985,chesa,-76.081,39.545,8.8,0,4,Spring
CB1.1 AP 1 85-04-24,24/4/1985,chesa,-76.081,39.545,16.6,0,4,Spring
CB1.1 AP 3 85-04-24,24/4/1985,chesa,-76.081,39.545,16.6,0,4,Spring
CB1.1 AP 1 85-05-08,8/5/1985,chesa,-76.081,39.545,17.43,0,5,Spring
CB1.1 AP 3 85-05-08,8/5/1985,chesa,-76.081,39.545,17.43,0,5,Spring
CB1.1 AP 1 85-05-22,22/5/1985,chesa,-76.081,39.545,21,0,5,Spring
CB1.1 AP 3 85-05-22,22/5/1985,chesa,-76.081,39.545,21,0,5,Spring
CB1.1 AP 1 85-06-05,5/6/1985,chesa,-76.081,39.545,23.3,0,6,Summer
CB1.1 AP 3 85-06-05,5/6/1985,chesa,-76.081,39.545,23.3,0,6,Summer
CB1.1 AP 1 85-06-19,19/6/1985,chesa,-76.081,39.545,23.43,0.013333333,6,Summer
CB1.1 AP 3 85-06-19,19/6/1985,chesa,-76.081,39.545,23.43,0.013333333,6,Summer
CB1.1 AP 1 85-07-10,10/7/1985,chesa,-76.081,39.545,26.08,0,7,Summer
CB1.1 AP 3 85-07-10,10/7/1985,chesa,-76.081,39.545,26.08,0,7,Summer
CB1.1 AP 1 85-07-24,24/7/1985,chesa,-76.081,39.545,27.6,0,7,Summer
CB1.1 AP 3 85-07-24,24/7/1985,chesa,-76.081,39.545,27.6,0,7,Summer
CB1.1 AP 5 85-08-08,8/8/1985,chesa,-76.081,39.545,27.07,0,8,Summer
CB1.1 AP 5 85-08-21,21/8/1985,chesa,-76.081,39.545,26.27,0,8,Summer
CB1.1 AP 5 85-09-11,11/9/1985,chesa,-76.081,39.545,25.87,0,9,Autumn
CB1.1 AP 5 85-09-25,25/9/1985,chesa,-76.081,39.545,22.4,0,9,Autumn
CB1.1 AP 5 85-10-09,9/10/1985,chesa,-76.081,39.545,18.63,0,10,Autumn
CB1.1 AP 5 85-11-14,14/11/1985,chesa,-76.081,39.545,13.6,0,11,Autumn
CB1.1 AP 5 85-12-11,11/12/1985,chesa,-76.081,39.545,3.6,0,12,Winter
CB1.1 AP 5 86-03-12,12/3/1986,chesa,-76.081,39.545,4.35,0,3,Spring
CB1.1 AP 5 86-04-09,9/4/1986,chesa,-76.081,39.545,14.4,0,4,Spring
CB1.1 AP 5 86-04-23,23/4/1986,chesa,-76.081,39.545,10.6,0,4,Spring
CB1.1 AP 5 86-05-14,14/5/1986,chesa,-76.081,39.545,18.4,0,5,Spring
CB1.1 AP 5 86-05-28,28/5/1986,chesa,-76.081,39.545,21.6,0,5,Spring
CB1.1 AP 5 86-06-11,11/6/1986,chesa,-76.081,39.545,25.2,0,6,Summer
CB1.1 AP 5 86-06-25,25/6/1986,chesa,-76.081,39.545,23.9,0,6,Summer
CB1.1 AP 5 86-07-17,17/7/1986,chesa,-76.081,39.545,27.13,0,7,Summer
CB1.1 AP 5 86-07-30,30/7/1986,chesa,-76.081,39.545,28.3,0,7,Summer
CB1.1 AP 5 86-08-13,13/8/1986,chesa,-76.081,39.545,26.2,0,8,Summer
CB1.1 AP 5 86-08-27,27/8/1986,chesa,-76.081,39.545,24.57,0,8,Summer
CB1.1 AP 5 86-09-10,10/9/1986,chesa,-76.081,39.545,22.33,0,9,Autumn
CB1.1 AP 5 86-09-24,24/9/1986,chesa,-76.081,39.545,22.15,0,9,Autumn
CB1.1 AP 5 86-10-06,6/10/1986,chesa,-76.081,39.545,22.4,0,10,Autumn
CB1.1 AP 5 86-11-19,19/11/1986,chesa,-76.081,39.545,6.2,0,11,Autumn
CB1.1 AP 5 86-12-10,10/12/1986,chesa,-76.081,39.545,5.33,0,12,Winter
CB1.1 AP 5 87-01-07,7/1/1987,chesa,-76.081,39.545,2.13,0,1,Winter
CB1.1 AP 5 87-03-16,16/3/1987,chesa,-76.081,39.545,4.57,0,3,Spring
CB1.1 AP 5 87-04-08,8/4/1987,chesa,-76.081,39.545,7.05,0,4,Spring
CB1.1 AP 5 87-04-22,22/4/1987,chesa,-76.081,39.545,13.45,0,4,Spring
CB1.1 AP 5 87-05-05,5/5/1987,chesa,-76.081,39.545,14.3,0,5,Spring
CB1.1 AP 5 87-05-20,20/5/1987,chesa,-76.081,39.545,18.67,0,5,Spring
CB1.1 AP 5 87-06-03,3/6/1987,chesa,-76.081,39.545,22.3,0,6,Summer
CB1.1 AP 5 87-06-17,17/6/1987,chesa,-76.081,39.545,24.55,0,6,Summer
CB1.1 AP 5 87-07-08,8/7/1987,chesa,-76.081,39.545,26.5,0,7,Summer
CB1.1 AP 5 87-07-22,22/7/1987,chesa,-76.081,39.545,28.23,0,7,Summer
CB1.1 AP 5 87-08-05,5/8/1987,chesa,-76.081,39.545,29.37,0,8,Summer
CB1.1 AP 5 87-08-19,19/8/1987,chesa,-76.081,39.545,28.25,0,8,Summer
CB1.1 AP 5 87-09-03,3/9/1987,chesa,-76.081,39.545,23.73,0,9,Autumn
CB1.1 AP 5 87-09-16,16/9/1987,chesa,-76.081,39.545,23.3,0,9,Autumn
CB1.1 AP 5 87-10-07,7/10/1987,chesa,-76.081,39.545,16.4,0,10,Autumn
CB1.1 AP 5 87-11-18,18/11/1987,chesa,-76.081,39.545,9,0,11,Autumn
CB1.1 AP 5 87-12-16,16/12/1987,chesa,-76.081,39.545,4.3,0,12,Winter
CB1.1 AP 5 88-03-18,18/3/1988,chesa,-76.081,39.545,4.65,0,3,Spring
CB1.1 AP 5 88-04-13,13/4/1988,chesa,-76.081,39.545,11.07,0,4,Spring
CB1.1 AP 5 88-04-27,27/4/1988,chesa,-76.081,39.545,12,0,4,Spring
CB1.1 AP 5 88-05-11,11/5/1988,chesa,-76.081,39.545,15.6,0,5,Spring
CB1.1 AP 5 88-05-25,25/5/1988,chesa,-76.081,39.545,17.3,0,5,Spring
CB1.1 AP 5 88-06-08,8/6/1988,chesa,-76.081,39.545,22.4,0,6,Summer
CB1.1 AP 5 88-06-22,22/6/1988,chesa,-76.081,39.545,26.43,0,6,Summer
CB1.1 AP 5 88-07-07,7/7/1988,chesa,-76.081,39.545,26.43,0,7,Summer
CB1.1 AP 5 88-07-20,20/7/1988,chesa,-76.081,39.545,28.2,0,7,Summer
CB1.1 AP 5 88-08-10,10/8/1988,chesa,-76.081,39.545,29.55,0,8,Summer
CB1.1 AP 5 88-08-24,24/8/1988,chesa,-76.081,39.545,25.7,0,8,Summer
CB1.1 AP 5 88-09-08,8/9/1988,chesa,-76.081,39.545,23,0,9,Autumn
CB1.1 AP 5 88-09-20,20/9/1988,chesa,-76.081,39.545,21.7,0,9,Autumn
CB1.1 AP 5 88-10-05,5/10/1988,chesa,-76.081,39.545,19.87,0,10,Autumn
CB1.1 AP 5 88-11-21,21/11/1988,chesa,-76.081,39.545,8.3,0,11,Autumn
CB1.1 AP 5 88-12-07,7/12/1988,chesa,-76.081,39.545,5.3,0,12,Winter
CB1.1 AP 5 89-01-19,19/1/1989,chesa,-76.081,39.545,1.6,0,1,Winter
CB1.1 AP 5 89-03-22,22/3/1989,chesa,-76.081,39.545,7.15,0,3,Spring
CB1.1 AP 5 89-04-05,5/4/1989,chesa,-76.081,39.545,8.6,0,4,Spring
CB1.1 AP 5 89-04-19,19/4/1989,chesa,-76.081,39.545,11.7,0,4,Spring
CB1.1 AP 5 89-05-03,3/5/1989,chesa,-76.081,39.545,15.85,0,5,Spring
CB1.1 AP 5 89-05-17,17/5/1989,chesa,-76.081,39.545,11.5,0,5,Spring
CB1.1 AP 5 89-06-14,14/6/1989,chesa,-76.081,39.545,21.8,0,6,Summer
CB1.1 AP 5 89-06-28,28/6/1989,chesa,-76.081,39.545,22.6,0,6,Summer
CB1.1 WC 7 89-07-12,12/7/1989,chesa,-76.081,39.545,26.33,0,7,Summer
CB1.1 WC 7 89-07-26,26/7/1989,chesa,-76.081,39.545,24.38,0,7,Summer
CB1.1 WC 7 89-08-16,16/8/1989,chesa,-76.081,39.545,25.08,0,8,Summer
CB1.1 WC 7 89-08-30,30/8/1989,chesa,-76.081,39.545,25.78,0,8,Summer
CB1.1 WC 7 89-09-13,13/9/1989,chesa,-76.081,39.545,25.14,0,9,Autumn
CB1.1 WC 7 89-09-27,27/9/1989,chesa,-76.081,39.545,21.38,0,9,Autumn
CB1.1 WC 7 89-10-11,11/10/1989,chesa,-76.081,39.545,16.27,0,10,Autumn
CB1.1 WC 7 89-11-14,14/11/1989,chesa,-76.081,39.545,11.85,0,11,Autumn
CB1.1 WC 7 89-12-13,13/12/1989,chesa,-76.081,39.545,1.33,0,12,Winter
CB1.1 WC 7 90-01-10,10/1/1990,chesa,-76.081,39.545,3.13,0,1,Winter
CB1.1 WC 7 90-02-07,7/2/1990,chesa,-76.081,39.545,4.03,0,2,Winter
CB1.1 WC 7 90-03-07,7/3/1990,chesa,-76.081,39.545,3.35,0,3,Spring
